channel,unit,samples_sampled,mean,std,rms,p005,p995,max_abs,flat_fraction,clipped_fraction,file,patient_id
EEG Cz,uV,20480,0.656201171875,21.54702527248991,21.55701505476324,-69.625,76.57562499999995,111.75,0.024317593632501588,0.0,PN00\PN00-1.edf,PN00
EEG Pz,uV,20480,-5.500115966796875,45.52670402360476,45.857737132365386,-207.5525,58.0,264.375,0.02749157673714537,0.0,PN00\PN00-1.edf,PN00
EEG Fp2,uV,20480,8.0059814453125,31.725381814995906,32.719957063082475,-84.875,123.875,265.625,0.01738366131158748,0.0,PN00\PN00-1.edf,PN00
EEG F4,uV,20480,-5.048260498046875,30.499554793237643,30.91452371688501,-148.950625,45.25,197.625,0.011621661213926462,0.0,PN00\PN00-1.edf,PN00
EEG C4,uV,20480,-5.60872802734375,29.972481032709137,30.49274420810335,-154.575625,46.625,218.0,0.018702085062747204,0.0,PN00\PN00-1.edf,PN00
EEG P4,uV,20480,6.9337646484375,25.965090331399853,26.874951313773124,-86.950625,104.75,129.75,0.022022559695297622,0.0,PN00\PN00-1.edf,PN00
EEG O2,uV,20480,-1.614801025390625,60.95659563248071,60.97798072627011,-280.325625,90.87812499999973,343.0,0.018262610479027296,0.0,PN00\PN00-1.edf,PN00
EEG F8,uV,20480,4.442120361328125,53.85516541779119,54.038053957208504,-232.851875,208.9012499999999,341.625,0.015039796865081303,0.0,PN00\PN00-1.edf,PN00
EEG T4,uV,20480,2.634161376953125,30.151891268726995,30.26673674582324,-136.90125,73.65124999999989,227.875,0.013135407002295034,0.0,PN00\PN00-1.edf,PN00
EEG T6,uV,20480,10.540521240234375,33.645823748510864,35.258247882328035,-82.65125,163.7762499999999,217.25,0.01181698325113531,0.0,PN00\PN00-1.edf,PN00
EEG Fc2,uV,20480,-5.607330322265625,57.159986402553116,57.43436426811962,-299.226875,57.625,371.0,0.013330729039503882,0.0,PN00\PN00-1.edf,PN00
EEG Fc6,uV,20480,7.0458740234375,26.008855832796648,26.946334119604312,-107.351875,116.875,237.875,0.013965525660432639,0.0,PN00\PN00-1.edf,PN00
EEG Cp2,uV,20480,-3.986944580078125,39.12864972817113,39.33124656853023,-186.325625,42.90124999999989,247.25,0.024903559744128133,0.0,PN00\PN00-1.edf,PN00
EEG Cp6,uV,20480,2.116552734375,25.630576018825433,25.717819163649544,-120.200625,61.625,194.625,0.019629864739489234,0.0,PN00\PN00-1.edf,PN00
EEG F10,uV,20480,0.59329833984375,38.82337508606884,38.827908210379455,-184.003125,136.70062499999995,271.625,0.01328189853020167,0.0,PN00\PN00-1.edf,PN00
EKG EKG,uV,20480,8566.75462819013,806.2544006691882,8604.611032360233,7274.2753643092,10400.525520714174,10690.27553521021,0.5678988231847258,0.0,PN00\PN00-1.edf,PN00
SPO2,%,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-1.edf,PN00
HR,bpm,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-1.edf,PN00
1,uV,20480,-2.045562744140625,245.9281351457059,245.93664221336522,-1361.7625,1624.8812499999995,2282.375,0.00434591532789687,0.0,PN00\PN00-1.edf,PN00
2,uV,20480,7.809979248046875,394.07146419162376,394.1488483631344,-370.45375,2338.5787499999997,2906.0,0.0033204746325504173,0.0,PN00\PN00-1.edf,PN00
MK,uV,20480,40.0,0.0,40.0,40.0,40.0,40.0,1.0,0.0,PN00\PN00-1.edf,PN00
EEG Fp1,uV,20480,6.886871337890625,23.037656761492702,24.045012495006315,-36.325625,112.25,122.75,0.05478783143708189,0.0,PN00\PN00-2.edf,PN00
EEG F3,uV,20480,8.88558349609375,35.88883176182223,36.97244702875958,-37.875,178.22687499999984,219.125,0.04160359392548464,0.0,PN00\PN00-2.edf,PN00
EEG C3,uV,20480,3.34927978515625,17.444716513801982,17.76332765351616,-37.075625,73.25,92.375,0.03252111919527321,0.0,PN00\PN00-2.edf,PN00
EEG P3,uV,20480,2.020361328125,19.41297942065126,19.517828513510732,-53.825625,64.95062499999995,85.125,0.0320816446115533,0.0,PN00\PN00-2.edf,PN00
EEG O1,uV,20480,6.327178955078125,27.454051017650247,28.173713117182942,-66.5,144.1512499999999,175.5,0.02578250891156795,0.0,PN00\PN00-2.edf,PN00
EEG F7,uV,20480,9.74013671875,37.68746994283056,38.92577107767679,-60.575625,184.0,209.875,0.034474339567361685,0.0,PN00\PN00-2.edf,PN00
EEG T3,uV,20480,10.32891845703125,44.48843369496767,45.67173402799082,-38.575625,222.95062499999995,289.125,0.035646271790614775,0.0,PN00\PN00-2.edf,PN00
EEG T5,uV,20480,9.102093505859376,27.16619112702219,28.650480738362955,-42.875,162.70062499999995,214.5,0.028517017432491822,0.0,PN00\PN00-2.edf,PN00
EEG Fc1,uV,20480,-0.934423828125,23.62722366762128,23.645694029365497,-113.950625,39.40124999999989,128.625,0.048635187265003176,0.0,PN00\PN00-2.edf,PN00
EEG Fc5,uV,20480,2.2226318359375,23.18299559979637,23.289297483142352,-38.75,119.625,204.5,0.039699204062698376,0.0,PN00\PN00-2.edf,PN00
EEG Cp1,uV,20480,8.993701171875,32.91570724695053,34.122286622322626,-52.575625,160.70062499999995,178.375,0.039503882025489524,0.0,PN00\PN00-2.edf,PN00
EEG Cp5,uV,20480,1.420428466796875,14.930256767527377,14.997672625230356,-47.375,48.875,70.625,0.0365740514673568,0.0,PN00\PN00-2.edf,PN00
EEG F9,uV,20480,1.27183837890625,18.770250882451926,18.81329027714839,-82.625,38.325624999999945,151.875,0.02553835636505689,0.0,PN00\PN00-2.edf,PN00
EEG Fz,uV,20480,-9.085107421875,60.699835580021016,61.37596611303641,-289.700625,24.25,296.375,0.03813662776502759,0.0,PN00\PN00-2.edf,PN00
EEG Cz,uV,20480,-9.8521728515625,40.679910090859295,41.855948142378296,-200.200625,43.450624999999945,218.5,0.03711118706968114,0.0,PN00\PN00-2.edf,PN00
EEG Pz,uV,20480,-1.82034912109375,21.87546935964517,21.951078119933914,-100.0,55.125,122.625,0.03520679720689487,0.0,PN00\PN00-2.edf,PN00
EEG Fp2,uV,20480,6.23040771484375,18.85917456636136,19.861682849589453,-41.825625,83.125,91.5,0.05459250939987304,0.0,PN00\PN00-2.edf,PN00
EEG F4,uV,20480,5.442181396484375,17.017302543958397,17.866334941023958,-50.625,65.25,96.875,0.04077347526734704,0.0,PN00\PN00-2.edf,PN00
EEG C4,uV,20480,4.105010986328125,18.540367609221892,18.989374562711614,-65.575625,54.625,100.75,0.024854729234825918,0.0,PN00\PN00-2.edf,PN00
EEG P4,uV,20480,-0.134527587890625,32.049182432931985,32.04946477386572,-149.75,62.700624999999945,168.125,0.04043166170223155,0.0,PN00\PN00-2.edf,PN00
EEG O2,uV,20480,5.179638671875,19.18863094606506,19.875417337894284,-54.325625,72.75,97.5,0.027931051320865277,0.0,PN00\PN00-2.edf,PN00
EEG F8,uV,20480,8.2509521484375,23.680905269055238,25.07715066983834,-65.0,71.32562499999995,133.25,0.032862932760388694,0.0,PN00\PN00-2.edf,PN00
EEG T4,uV,20480,16.687860107421876,50.954302564970206,53.61740039247905,-54.151250000000005,296.6774999999998,356.875,0.03579276331852141,0.0,PN00\PN00-2.edf,PN00
EEG T6,uV,20480,-5.69384765625,58.957640860392154,59.23194507152003,-281.15125,61.950624999999945,319.125,0.027686898774354218,0.0,PN00\PN00-2.edf,PN00
EEG Fc2,uV,20480,-2.751849365234375,43.82445685788014,43.910769679170265,-210.0,40.25,227.875,0.0166512036720543,0.0,PN00\PN00-2.edf,PN00
EEG Fc6,uV,20480,5.800958251953125,15.695353657423802,16.73305838968208,-56.375,50.700624999999945,157.625,0.043507983788270914,0.0,PN00\PN00-2.edf,PN00
EEG Cp2,uV,20480,2.12835693359375,17.78102360488675,17.907950850790172,-61.375,60.950624999999945,85.375,0.03374188192782851,0.0,PN00\PN00-2.edf,PN00
EEG Cp6,uV,20480,5.525738525390625,19.642790267858345,20.405219816460118,-41.625,82.80249999999978,113.875,0.03530445822549929,0.0,PN00\PN00-2.edf,PN00
EEG F10,uV,20480,3.822332763671875,22.360746705366164,22.68508807516037,-69.575625,66.375,104.5,0.0255871868743591,0.0,PN00\PN00-2.edf,PN00
EKG EKG,uV,20480,7620.436978307194,533.2229093612606,7639.069734687553,6450.775323109818,8555.275428397057,8646.775432974799,0.6933444015821085,0.0,PN00\PN00-2.edf,PN00
SPO2,%,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-2.edf,PN00
HR,bpm,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-2.edf,PN00
1,uV,20480,14.282904052734375,43.62174213925321,45.900519990988286,-112.825625,208.875,318.75,0.009521949313931344,0.0,PN00\PN00-2.edf,PN00
2,uV,20480,17.39892578125,431.1053511495069,431.4563088055163,-510.48312500000003,2265.8025,4082.375,0.005859661116265443,0.0,PN00\PN00-2.edf,PN00
MK,uV,20480,40.0,0.0,40.0,40.0,40.0,40.0,1.0,0.0,PN00\PN00-2.edf,PN00
EEG Fp1,uV,20480,-0.856488037109375,25.087758776562907,25.102374632466958,-99.20375,69.20062499999995,231.375,0.015528101958103424,0.0,PN00\PN00-3.edf,PN00
EEG F3,uV,20480,2.444635009765625,26.79447259515796,26.90576150164947,-78.5,102.625,259.0,0.016016407051125545,0.0,PN00\PN00-3.edf,PN00
EEG C3,uV,20480,2.30811767578125,18.55856285244797,18.701541710605454,-67.375,58.375,188.125,0.018750915572049418,0.0,PN00\PN00-3.edf,PN00
EEG P3,uV,20480,-1.27877197265625,27.36723549106832,27.397095396805124,-125.875,54.875,156.375,0.014063186679037063,0.0,PN00\PN00-3.edf,PN00
EEG O1,uV,20480,3.667779541015625,47.24398231143874,47.38614218740569,-127.200625,180.5,191.625,0.012012305288344157,0.0,PN00\PN00-3.edf,PN00
EEG F7,uV,20480,9.40933837890625,31.06575061512288,32.45945948425151,-94.325625,92.375,455.25,0.014551491772059182,0.0,PN00\PN00-3.edf,PN00
EEG T3,uV,20480,1.449261474609375,27.981826397769716,28.019332029452613,-118.23,81.25312499999973,380.875,0.009570779823233556,0.0,PN00\PN00-3.edf,PN00
EEG T5,uV,20480,2.360064697265625,30.074590937704826,30.167050327228825,-104.55250000000001,109.77624999999989,183.375,0.009863762879046828,0.0,PN00\PN00-3.edf,PN00
EEG Fc1,uV,20480,7.03492431640625,16.034661640335703,17.51001239455921,-55.450625,54.75,129.625,0.02368279701157283,0.0,PN00\PN00-3.edf,PN00
EEG Fc5,uV,20480,10.75159912109375,63.839105104327906,64.73815122616747,-171.950625,286.35187499999984,330.75,0.012012305288344157,0.0,PN00\PN00-3.edf,PN00
EEG Cp1,uV,20480,1.041229248046875,22.873934277523293,22.89762056807308,-107.40125,49.25,132.375,0.021143610527857806,0.0,PN00\PN00-3.edf,PN00
EEG Cp5,uV,20480,-0.01263427734375,25.379492733508133,25.379495878270635,-70.40125,95.52624999999989,211.5,0.013330729039503882,0.0,PN00\PN00-3.edf,PN00
EEG F9,uV,20480,12.567559814453125,33.82873179895777,36.08776322821455,-92.02625,146.32562499999995,348.375,0.009814932369744617,0.0,PN00\PN00-3.edf,PN00
EEG Fz,uV,20480,7.74046630859375,11.953549665243829,14.240862623939808,-27.25,38.075624999999945,57.375,0.023145661409248498,0.0,PN00\PN00-3.edf,PN00
EEG Cz,uV,20480,2.5415283203125,18.764551513469204,18.935885500936834,-52.776250000000005,58.0,83.625,0.023145661409248498,0.0,PN00\PN00-3.edf,PN00
EEG Pz,uV,20480,2.645849609375,22.155554622557847,22.31298099287888,-85.575625,57.75,113.625,0.020411152888324624,0.0,PN00\PN00-3.edf,PN00
EEG Fp2,uV,20480,4.107672119140625,38.98320619421055,39.19902212324564,-105.075625,164.45062499999995,211.875,0.015381610430196787,0.0,PN00\PN00-3.edf,PN00
EEG F4,uV,20480,7.89862060546875,31.041619876226527,32.03077226682612,-79.75,120.32562499999995,407.5,0.012402949362761853,0.0,PN00\PN00-3.edf,PN00
EEG C4,uV,20480,2.90716552734375,34.077727162652884,34.20150727636994,-166.575625,77.52624999999989,212.375,0.013428390058108306,0.0,PN00\PN00-3.edf,PN00
EEG P4,uV,20480,9.427117919921875,22.207330292907614,24.125423747872375,-64.200625,88.45062499999995,138.0,0.012402949362761853,0.0,PN00\PN00-3.edf,PN00
EEG O2,uV,20480,-1.35477294921875,37.86834122181492,37.89256756457316,-155.625,85.90124999999989,227.25,0.01279359343717955,0.0,PN00\PN00-3.edf,PN00
EEG F8,uV,20480,15.553179931640624,43.747306105556476,46.429820131885585,-138.4075,150.20062499999995,639.0,0.011475169686019825,0.0,PN00\PN00-3.edf,PN00
EEG T4,uV,20480,7.663812255859375,50.66383451350165,51.24020048657637,-221.88125,133.75,337.875,0.006836271302309683,0.0,PN00\PN00-3.edf,PN00
EEG T6,uV,20480,7.720526123046875,26.597660041586256,27.69552388571921,-92.226875,89.75937499999918,163.5,0.009131305239513648,0.0,PN00\PN00-3.edf,PN00
EEG Fc2,uV,20480,4.782861328125,28.353626050235448,28.754197479336195,-179.700625,66.125,268.0,0.013623712095317155,0.0,PN00\PN00-3.edf,PN00
EEG Fc6,uV,20480,11.402911376953124,24.80274666204628,27.298399767244504,-58.0,129.60187499999984,277.75,0.009375457786024709,0.0,PN00\PN00-3.edf,PN00
EEG Cp2,uV,20480,4.86446533203125,19.258585148224046,19.86343688483767,-72.226875,57.450624999999945,94.5,0.018457932516236144,0.0,PN00\PN00-3.edf,PN00
EEG Cp6,uV,20480,3.619940185546875,27.952027197779707,28.185453542782554,-101.450625,84.92749999999978,286.5,0.012891254455783974,0.0,PN00\PN00-3.edf,PN00
EEG F10,uV,20480,14.0493896484375,37.36522992083869,39.91924043028326,-92.375,136.32562499999995,246.125,0.008643000146491529,0.0,PN00\PN00-3.edf,PN00
EKG EKG,uV,20480,9014.08823211301,767.5282549728902,9046.705824691106,7625.025381857064,10614.025531395455,10781.775539787952,0.5025636017383661,0.0,PN00\PN00-3.edf,PN00
SPO2,%,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-3.edf,PN00
HR,bpm,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-3.edf,PN00
1,uV,20480,-3.57762451171875,78.75947454791454,78.84068891258148,-407.105,241.35499999999956,850.375,0.0035157966697592657,0.0,PN00\PN00-3.edf,PN00
2,uV,20480,14.117266845703124,400.53732943316595,400.78603954310245,-480.753125,2387.699374999998,2997.875,0.002490355974412813,0.0,PN00\PN00-3.edf,PN00
MK,uV,20480,40.0,0.0,40.0,40.0,40.0,40.0,1.0,0.0,PN00\PN00-3.edf,PN00
EEG Fp1,uV,20480,100.12439575195313,434.64965887326974,446.03275729854585,-59.825625,2483.7562499999995,2537.125,0.014063186679037063,0.0,PN00\PN00-4.edf,PN00
EEG F3,uV,20480,2.82264404296875,14.6663926189229,14.935541230424263,-69.476875,39.625,98.0,0.014649152790663606,0.0,PN00\PN00-4.edf,PN00
EEG C3,uV,20480,0.178704833984375,23.194624268293307,23.19531268090582,-130.36125,43.125,167.5,0.017920796913911814,0.0,PN00\PN00-4.edf,PN00
EEG P3,uV,20480,1.58206787109375,27.93522863689133,27.979991739529527,-148.785625,64.95062499999995,202.25,0.01743249182088969,0.0,PN00\PN00-4.edf,PN00
EEG O1,uV,20480,7.171209716796875,33.27794642047606,34.041856100488374,-163.950625,70.20062499999995,211.875,0.015235118902290151,0.0,PN00\PN00-4.edf,PN00
EEG F7,uV,20480,4.072314453125,23.421338108365482,23.772732779205338,-65.625,59.375,93.25,0.017041847746471994,0.0,PN00\PN00-4.edf,PN00
EEG T3,uV,20480,3.46104736328125,29.065047341347785,29.27039162371532,-151.5325,115.25,208.5,0.013086576492992823,0.0,PN00\PN00-4.edf,PN00
EEG T5,uV,20480,5.150341796875,28.759381725563756,29.21691390036477,-150.003125,78.17749999999978,601.5,0.014942135846476879,0.0,PN00\PN00-4.edf,PN00
EEG Fc1,uV,20480,4.6623779296875,18.5738121583322,19.150046110969186,-118.20375,43.325624999999945,157.5,0.022022559695297622,0.0,PN00\PN00-4.edf,PN00
EEG Fc5,uV,20480,-2.004412841796875,19.242984820715172,19.347096310574226,-117.38750000000002,38.875,167.0,0.014307339225548122,0.0,PN00\PN00-4.edf,PN00
EEG Cp1,uV,20480,1.207415771484375,26.78385970078661,26.811061025566488,-146.6775,48.875,189.125,0.021778407148786563,0.0,PN00\PN00-4.edf,PN00
EEG Cp5,uV,20480,4.247796630859375,23.94124791277586,24.315162508980578,-146.82875,49.625,192.125,0.02075296645344011,0.0,PN00\PN00-4.edf,PN00
EEG F9,uV,20480,6.20609130859375,35.17615719979501,35.7194289522564,-154.0,154.625,232.0,0.014405000244152547,0.0,PN00\PN00-4.edf,PN00
EEG Fz,uV,20480,5.753790283203125,17.509935581340905,18.43105929364319,-59.75,94.0,110.0,0.0207041359441379,0.0,PN00\PN00-4.edf,PN00
EEG Cz,uV,20480,-0.627484130859375,19.884746324172742,19.894644322309,-128.003125,38.200624999999945,173.25,0.02172957663948435,0.0,PN00\PN00-4.edf,PN00
EEG Pz,uV,20480,1.788580322265625,29.33407570539986,29.38855248322595,-145.200625,103.65124999999989,189.5,0.021387763074368866,0.0,PN00\PN00-4.edf,PN00
EEG Fp2,uV,20480,21.5827880859375,75.45179010925409,78.47795468953952,-50.5,397.07562499999995,445.75,0.015528101958103424,0.0,PN00\PN00-4.edf,PN00
EEG F4,uV,20480,-1.0700439453125,23.778528099826957,23.80259214117572,-87.325625,64.10187499999984,188.875,0.012158796816250794,0.0,PN00\PN00-4.edf,PN00
EEG C4,uV,20480,-3.5351318359375,37.7282874538637,37.89354603753557,-178.325625,56.200624999999945,222.25,0.012940084965086186,0.0,PN00\PN00-4.edf,PN00
EEG P4,uV,20480,5.154541015625,23.746151874142907,24.299156814828393,-139.700625,65.45062499999995,180.375,0.01689535621856536,0.0,PN00\PN00-4.edf,PN00
EEG O2,uV,20480,-0.454486083984375,30.888140838061705,30.89148429636347,-152.325625,58.700624999999945,209.75,0.013819034132526001,0.0,PN00\PN00-4.edf,PN00
EEG F8,uV,20480,2.569598388671875,29.543537895376947,29.655074898820246,-113.700625,67.95062499999995,220.5,0.011963474779041946,0.0,PN00\PN00-4.edf,PN00
EEG T4,uV,20480,4.7404052734375,28.203523593431814,28.59912909935719,-123.15125,74.70062499999995,191.875,0.008643000146491529,0.0,PN00\PN00-4.edf,PN00
EEG T6,uV,20480,5.388165283203125,27.783103180014006,28.3007623118251,-147.134375,76.20062499999995,241.875,0.010498559499975585,0.0,PN00\PN00-4.edf,PN00
EEG Fc2,uV,20480,5.8264404296875,23.592108368496135,24.300925606889184,-111.976875,50.625,155.125,0.012549440890668489,0.0,PN00\PN00-4.edf,PN00
EEG Fc6,uV,20480,6.5536865234375,22.268939106885313,23.213281887610215,-85.5,75.72687499999984,151.5,0.009766101860442404,0.0,PN00\PN00-4.edf,PN00
EEG Cp2,uV,20480,0.299920654296875,25.760145282687347,25.761891184150926,-144.325625,45.5,189.875,0.0207041359441379,0.0,PN00\PN00-4.edf,PN00
EEG Cp6,uV,20480,0.439581298828125,24.707328776651885,24.71123888023119,-131.8025,54.125,179.75,0.013819034132526001,0.0,PN00\PN00-4.edf,PN00
EEG F10,uV,20480,2.222283935546875,31.2193564371106,31.298350791016908,-113.27625,76.20062499999995,165.875,0.009766101860442404,0.0,PN00\PN00-4.edf,PN00
EKG EKG,uV,20480,7754.794101728243,998.1964919769433,7818.774059710016,6542.275327687559,10232.775512321678,10507.275526054844,0.5995898237218614,0.0,PN00\PN00-4.edf,PN00
SPO2,%,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-4.edf,PN00
HR,bpm,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-4.edf,PN00
1,uV,20480,8.787548828125,43.39781189774738,44.278562441874115,-135.40125,159.67749999999978,288.875,0.00385761023487475,0.0,PN00\PN00-4.edf,PN00
2,uV,20480,1.973651123046875,407.3738657380592,407.3786466975481,-321.930625,2458.101875,2760.0,0.004541237365105718,0.0,PN00\PN00-4.edf,PN00
MK,uV,20480,40.0,0.0,40.0,40.0,40.0,40.0,1.0,0.0,PN00\PN00-4.edf,PN00
EEG Fp1,uV,20480,6.427972412109375,18.625850151566873,19.703835240872852,-57.25,81.20062499999995,92.75,0.04492406855803506,0.0,PN00\PN00-5.edf,PN00
EEG F3,uV,20480,16.963092041015624,43.83045928377252,46.99846436447055,-18.125,213.875,221.25,0.03994335660920943,0.0,PN00\PN00-5.edf,PN00
EEG C3,uV,20480,6.134136962890625,25.825469558386985,26.543973217863858,-42.5,113.625,126.75,0.03383954294643293,0.0,PN00\PN00-5.edf,PN00
EEG P3,uV,20480,10.630963134765626,34.09170247355318,35.710804453526634,-45.825625,146.20062499999995,153.0,0.03232579715806436,0.0,PN00\PN00-5.edf,PN00
EEG O1,uV,20480,-12.77667236328125,96.13322170911015,96.97855264362096,-456.125,102.40124999999989,476.375,0.027442746227843158,0.0,PN00\PN00-5.edf,PN00
EEG F7,uV,20480,23.233966064453124,76.83610686678443,80.27206548686833,-46.625,386.07562499999995,396.625,0.03520679720689487,0.0,PN00\PN00-5.edf,PN00
EEG T3,uV,20480,14.23353271484375,52.42703191738875,54.324829766980635,-37.625,257.5,276.0,0.026221983495287857,0.0,PN00\PN00-5.edf,PN00
EEG T5,uV,20480,8.913580322265625,27.46426980790567,28.874522164754865,-44.625,126.57562499999995,143.75,0.028077542848771914,0.0,PN00\PN00-5.edf,PN00
EEG Fc1,uV,20480,7.15955810546875,17.542712346783073,18.947454413391753,-31.125,88.25,106.125,0.039503882025489524,0.0,PN00\PN00-5.edf,PN00
EEG Fc5,uV,20480,12.08402099609375,54.5567997662833,55.87904763122188,-48.5,269.07562499999995,287.25,0.0353532887348015,0.0,PN00\PN00-5.edf,PN00
EEG Cp1,uV,20480,8.14080810546875,29.10164521873802,30.218843641796806,-46.700625,119.87812499999973,140.5,0.039552712534791735,0.0,PN00\PN00-5.edf,PN00
EEG Cp5,uV,20480,5.4417236328125,20.5045906066204,21.214395867924583,-40.125,104.15124999999989,140.25,0.03711118706968114,0.0,PN00\PN00-5.edf,PN00
EEG F9,uV,20480,9.3715576171875,20.76937462597519,22.78580730468787,-37.075625,86.72687499999984,101.0,0.029298305581327212,0.0,PN00\PN00-5.edf,PN00
EEG Fz,uV,20480,4.189300537109375,20.74767247671259,21.166392044728884,-86.875,35.075624999999945,96.375,0.04155476341618243,0.0,PN00\PN00-5.edf,PN00
EEG Cz,uV,20480,1.51181640625,19.696724281176202,19.75465859626237,-41.575625,108.47687499999984,130.5,0.03608574637433468,0.0,PN00\PN00-5.edf,PN00
EEG Pz,uV,20480,4.035418701171875,24.30954149339059,24.642207930959565,-49.125,118.32562499999995,138.5,0.04145710239757801,0.0,PN00\PN00-5.edf,PN00
EEG Fp2,uV,20480,19.3919189453125,58.10079343589164,61.25152013021162,-66.575625,279.20062499999995,292.125,0.04780506860686557,0.0,PN00\PN00-5.edf,PN00
EEG F4,uV,20480,5.6361572265625,14.355180982360165,15.421980719701592,-36.0,56.125,93.25,0.03154450900922896,0.0,PN00\PN00-5.edf,PN00
EEG C4,uV,20480,4.846600341796875,17.68130692832249,18.333525290206747,-32.200625,75.27624999999989,108.375,0.02563601738366131,0.0,PN00\PN00-5.edf,PN00
EEG P4,uV,20480,8.3617431640625,19.316366627574432,21.04853364091231,-39.75,88.65124999999989,120.0,0.036232237902241324,0.0,PN00\PN00-5.edf,PN00
EEG O2,uV,20480,13.559930419921875,29.5621322040627,32.523704792713936,-45.0,137.375,149.125,0.03115386493481127,0.0,PN00\PN00-5.edf,PN00
EEG F8,uV,20480,9.03157958984375,46.17426985297213,47.04925744730488,-66.25,192.875,204.625,0.02778455979295864,0.0,PN00\PN00-5.edf,PN00
EEG T4,uV,20480,15.566058349609374,42.660491910440804,45.41166967404115,-45.375,247.20062499999995,287.5,0.02729625469993652,0.0,PN00\PN00-5.edf,PN00
EEG T6,uV,20480,-1.94176025390625,41.572631539185885,41.617954370398394,-193.950625,74.75,217.875,0.026173152985985645,0.0,PN00\PN00-5.edf,PN00
EEG Fc2,uV,20480,2.9319091796875,36.432893585867085,36.55067477457907,-216.625,72.875,232.5,0.019727525758093657,0.0,PN00\PN00-5.edf,PN00
EEG Fc6,uV,20480,8.81641845703125,16.490617659466672,18.699457350420502,-40.625,70.20062499999995,129.875,0.028321695395282974,0.0,PN00\PN00-5.edf,PN00
EEG Cp2,uV,20480,8.29644775390625,25.68271190650938,26.989493070564603,-51.450625,115.0,133.75,0.04048049221153377,0.0,PN00\PN00-5.edf,PN00
EEG Cp6,uV,20480,7.3318603515625,22.62857628834461,23.786732458499763,-38.75,96.45062499999995,119.375,0.032911763269690905,0.0,PN00\PN00-5.edf,PN00
EEG F10,uV,20480,6.047027587890625,28.567717351142292,29.200702342640096,-57.901250000000005,107.75,134.875,0.02055764441623126,0.0,PN00\PN00-5.edf,PN00
EKG EKG,uV,20480,8692.81658518055,759.0509012252118,8725.89356193627,6999.775350576092,10995.275550469232,11193.525560387643,0.70706577469603,0.0,PN00\PN00-5.edf,PN00
SPO2,%,20480,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,PN00\PN00-5.edf,PN00
