reading_index,minutes_before_onset,PN00_S01,PN00_S02,PN00_S03,PN00_S04,PN00_S05,PN01_S01,PN01_S02,PN03_S01,PN03_S02,PN05_S01,PN05_S02,PN05_S03,PN06_S01,PN06_S02,PN06_S03,PN06_S04,PN06_S05,PN07_S01,PN09_S01,PN09_S02,PN09_S03,PN10_S01,PN10_S02,PN10_S03,PN10_S04,PN10_S05,PN10_S06,PN10_S07,PN10_S08,PN10_S09,PN10_S10,PN11_S01,PN12_S01,PN12_S02,PN12_S03,PN12_S04,PN13_S01,PN13_S02,PN13_S03,PN14_S01,PN14_S02,PN14_S03,PN14_S04,PN16_S01,PN16_S02,PN17_S01,PN17_S02
10,4.166666666666667,"(49, 0.018871)","(51, 0.045572)","(49, 0.032104)","(57, 0.046111)","(47, 0.045529)","(50, 0.022687)","(48, 0.054202)","(56, 0.050286)","(50, 0.062000)","(52, 0.036808)","(60, 0.004603)","(49, 0.046980)","(56, 0.050744)","(54, 0.044500)","(54, 0.039254)","(60, 0.008436)","(59, 0.034226)","(52, 0.050669)","(50, 0.047681)","(43, 0.029680)","(51, 0.046186)","(48, 0.053862)","(50, 0.027111)","(60, 0.013010)","(8, 0.018166)","(50, 0.055880)","(48, 0.037474)","(23, 0.019374)","(54, 0.035736)","(52, 0.052864)","(51, 0.044142)","(53, 0.061276)","(48, 0.048355)","(52, 0.050120)","(51, 0.039634)","(60, 0.016141)","(55, 0.026270)","(51, 0.056980)","(60, 0.022037)","(55, 0.047739)","(50, 0.040576)","(26, 0.018096)","(51, 0.034446)","(50, 0.056413)","(57, 0.056766)","(53, 0.027872)","(60, 0.012430)"
11,4.083333333333333,"(53, 0.024550)","(49, 0.045895)","(49, 0.032938)","(59, 0.038215)","(47, 0.046239)","(53, 0.025948)","(48, 0.047782)","(56, 0.047100)","(50, 0.059989)","(57, 0.029788)","(60, 0.004437)","(49, 0.046993)","(56, 0.046662)","(54, 0.036034)","(55, 0.035366)","(60, 0.009730)","(50, 0.041639)","(52, 0.047082)","(50, 0.048931)","(43, 0.026489)","(53, 0.037685)","(54, 0.056573)","(49, 0.026686)","(60, 0.011940)","(7, 0.020789)","(49, 0.058579)","(48, 0.035693)","(23, 0.018210)","(54, 0.032019)","(52, 0.050910)","(50, 0.045164)","(48, 0.056271)","(48, 0.047065)","(52, 0.051592)","(43, 0.044907)","(60, 0.017216)","(55, 0.026659)","(51, 0.059411)","(60, 0.023902)","(52, 0.045095)","(48, 0.034854)","(37, 0.022948)","(49, 0.036680)","(50, 0.063148)","(53, 0.070468)","(56, 0.029131)","(60, 0.015566)"
12,4.0,"(50, 0.023237)","(49, 0.046354)","(49, 0.032497)","(59, 0.030855)","(47, 0.047800)","(43, 0.025975)","(46, 0.061152)","(56, 0.033368)","(48, 0.048485)","(46, 0.032763)","(60, 0.004833)","(49, 0.044650)","(56, 0.044242)","(58, 0.032550)","(54, 0.037188)","(60, 0.009886)","(48, 0.030029)","(52, 0.036975)","(50, 0.049077)","(43, 0.031287)","(48, 0.037896)","(54, 0.055420)","(50, 0.036246)","(60, 0.011006)","(8, 0.018116)","(49, 0.059683)","(47, 0.051028)","(49, 0.016250)","(54, 0.030924)","(52, 0.049920)","(49, 0.045915)","(53, 0.058674)","(48, 0.046560)","(52, 0.050843)","(46, 0.044648)","(60, 0.017601)","(55, 0.026843)","(51, 0.059506)","(59, 0.022171)","(52, 0.051761)","(46, 0.035010)","(37, 0.022819)","(49, 0.031073)","(50, 0.059275)","(53, 0.070411)","(56, 0.031640)","(60, 0.021829)"
13,3.9166666666666665,"(23, 0.025097)","(49, 0.038859)","(49, 0.031651)","(60, 0.018003)","(47, 0.051837)","(50, 0.022268)","(46, 0.064904)","(39, 0.024271)","(48, 0.047725)","(46, 0.031901)","(60, 0.006519)","(49, 0.044650)","(47, 0.029007)","(58, 0.029876)","(54, 0.039588)","(26, 0.009780)","(48, 0.034063)","(52, 0.038368)","(50, 0.044436)","(43, 0.031006)","(43, 0.037582)","(54, 0.053625)","(51, 0.035495)","(6, 0.017348)","(8, 0.018279)","(48, 0.044851)","(47, 0.051422)","(23, 0.018674)","(54, 0.033827)","(52, 0.049973)","(49, 0.040700)","(53, 0.059331)","(48, 0.049718)","(52, 0.042199)","(46, 0.045603)","(60, 0.022085)","(55, 0.024058)","(49, 0.054587)","(60, 0.014706)","(52, 0.043373)","(46, 0.033214)","(37, 0.023466)","(49, 0.031130)","(49, 0.061813)","(52, 0.064195)","(56, 0.029316)","(60, 0.015562)"
14,3.8333333333333335,"(50, 0.024633)","(49, 0.040502)","(43, 0.044337)","(60, 0.019153)","(47, 0.046149)","(43, 0.024434)","(44, 0.069666)","(39, 0.030456)","(47, 0.045019)","(46, 0.032486)","(60, 0.006658)","(49, 0.044305)","(47, 0.041854)","(44, 0.032837)","(54, 0.041591)","(26, 0.008497)","(47, 0.035656)","(44, 0.050521)","(50, 0.043976)","(43, 0.027563)","(43, 0.037434)","(47, 0.053123)","(44, 0.033408)","(52, 0.009762)","(7, 0.025360)","(46, 0.061981)","(47, 0.048845)","(50, 0.020427)","(54, 0.037582)","(52, 0.044476)","(49, 0.040300)","(46, 0.052653)","(46, 0.054143)","(52, 0.046211)","(45, 0.049095)","(60, 0.024686)","(55, 0.025736)","(44, 0.061546)","(60, 0.009659)","(52, 0.039498)","(46, 0.033256)","(37, 0.022106)","(49, 0.033844)","(49, 0.062377)","(53, 0.061967)","(56, 0.028758)","(60, 0.023087)"
15,3.75,"(55, 0.024685)","(38, 0.036665)","(43, 0.045505)","(41, 0.021027)","(47, 0.051718)","(43, 0.026973)","(46, 0.068063)","(39, 0.030003)","(47, 0.044649)","(46, 0.030677)","(60, 0.005171)","(49, 0.046859)","(47, 0.038584)","(44, 0.032143)","(54, 0.042076)","(60, 0.007675)","(47, 0.033208)","(44, 0.055312)","(50, 0.037578)","(39, 0.032612)","(43, 0.037681)","(46, 0.053276)","(44, 0.031105)","(11, 0.015475)","(7, 0.027291)","(46, 0.060626)","(47, 0.049329)","(50, 0.021076)","(54, 0.033743)","(52, 0.043720)","(46, 0.041319)","(46, 0.054055)","(43, 0.042882)","(52, 0.042848)","(44, 0.046891)","(55, 0.035168)","(49, 0.026346)","(48, 0.054575)","(12, 0.010916)","(50, 0.028515)","(39, 0.027616)","(26, 0.023752)","(44, 0.042747)","(50, 0.047158)","(53, 0.066640)","(56, 0.027356)","(60, 0.013099)"
16,3.6666666666666665,"(55, 0.024270)","(38, 0.039684)","(43, 0.042511)","(38, 0.029296)","(47, 0.052442)","(43, 0.026987)","(46, 0.065013)","(44, 0.030756)","(47, 0.042537)","(43, 0.023371)","(60, 0.005273)","(49, 0.040173)","(47, 0.042294)","(43, 0.037011)","(54, 0.040955)","(28, 0.007766)","(38, 0.026581)","(44, 0.055176)","(43, 0.036993)","(39, 0.035156)","(43, 0.038117)","(45, 0.037541)","(44, 0.030772)","(11, 0.019984)","(11, 0.026266)","(46, 0.060324)","(44, 0.030510)","(50, 0.020723)","(46, 0.018930)","(52, 0.046765)","(46, 0.040695)","(44, 0.056054)","(43, 0.056404)","(45, 0.037619)","(44, 0.046219)","(56, 0.032023)","(40, 0.028460)","(44, 0.057044)","(33, 0.014712)","(52, 0.038394)","(39, 0.031169)","(37, 0.020840)","(44, 0.041684)","(43, 0.047730)","(53, 0.066640)","(59, 0.025117)","(60, 0.011720)"
17,3.5833333333333335,"(55, 0.024173)","(38, 0.038793)","(41, 0.038971)","(43, 0.045355)","(46, 0.042331)","(43, 0.025871)","(44, 0.070673)","(39, 0.029332)","(47, 0.039771)","(43, 0.027132)","(60, 0.006094)","(43, 0.047436)","(39, 0.034284)","(43, 0.035743)","(54, 0.041358)","(9, 0.009886)","(38, 0.029015)","(44, 0.055312)","(52, 0.025438)","(43, 0.028464)","(43, 0.035477)","(43, 0.061350)","(42, 0.026146)","(11, 0.013321)","(1, 0.026937)","(46, 0.051216)","(44, 0.040781)","(30, 0.023006)","(43, 0.031508)","(52, 0.039712)","(46, 0.037240)","(43, 0.059973)","(43, 0.057266)","(43, 0.032157)","(43, 0.042996)","(57, 0.043033)","(55, 0.024222)","(48, 0.053698)","(25, 0.010188)","(52, 0.037627)","(39, 0.028014)","(37, 0.018859)","(43, 0.041389)","(39, 0.053905)","(53, 0.061458)","(59, 0.035842)","(60, 0.009201)"
18,3.5,"(55, 0.024173)","(38, 0.037985)","(41, 0.039786)","(39, 0.049550)","(47, 0.047297)","(43, 0.025816)","(44, 0.072653)","(39, 0.035071)","(39, 0.032569)","(39, 0.028875)","(60, 0.005227)","(43, 0.049589)","(39, 0.034372)","(41, 0.038458)","(54, 0.043035)","(17, 0.008954)","(38, 0.024808)","(44, 0.057307)","(43, 0.035311)","(50, 0.027330)","(43, 0.035696)","(42, 0.073072)","(42, 0.040545)","(11, 0.013294)","(11, 0.024936)","(42, 0.068443)","(56, 0.030736)","(33, 0.020986)","(42, 0.024446)","(52, 0.035817)","(46, 0.037770)","(40, 0.049095)","(43, 0.053683)","(55, 0.035722)","(42, 0.041409)","(59, 0.064684)","(44, 0.024025)","(47, 0.043864)","(25, 0.011039)","(52, 0.033965)","(39, 0.028079)","(26, 0.016931)","(39, 0.041828)","(39, 0.052525)","(53, 0.061472)","(57, 0.031675)","(60, 0.009468)"
19,3.4166666666666665,"(55, 0.024098)","(38, 0.040033)","(41, 0.039822)","(39, 0.049625)","(42, 0.048238)","(43, 0.028903)","(46, 0.060297)","(39, 0.035420)","(47, 0.044044)","(39, 0.029318)","(60, 0.010412)","(42, 0.047548)","(39, 0.030512)","(41, 0.037085)","(43, 0.047666)","(60, 0.006809)","(38, 0.025258)","(44, 0.056419)","(41, 0.048736)","(43, 0.028567)","(38, 0.018598)","(42, 0.073665)","(38, 0.026836)","(52, 0.009362)","(7, 0.023815)","(46, 0.047980)","(40, 0.029043)","(32, 0.031004)","(42, 0.025505)","(52, 0.036688)","(39, 0.031930)","(43, 0.047412)","(43, 0.056669)","(39, 0.032926)","(42, 0.041867)","(53, 0.045600)","(33, 0.021478)","(43, 0.043152)","(24, 0.014591)","(52, 0.032737)","(39, 0.025627)","(27, 0.019834)","(42, 0.030906)","(39, 0.057073)","(53, 0.061472)","(57, 0.038776)","(60, 0.010680)"
20,3.3333333333333335,"(55, 0.024305)","(38, 0.036396)","(39, 0.035751)","(43, 0.046550)","(42, 0.048769)","(43, 0.028813)","(46, 0.055208)","(39, 0.032564)","(39, 0.042398)","(39, 0.030237)","(60, 0.006093)","(39, 0.050438)","(39, 0.031421)","(43, 0.031095)","(40, 0.036270)","(60, 0.006162)","(38, 0.030100)","(44, 0.024502)","(41, 0.059378)","(21, 0.032833)","(38, 0.023585)","(40, 0.077761)","(40, 0.027780)","(54, 0.010663)","(13, 0.019152)","(39, 0.071850)","(38, 0.023977)","(32, 0.028769)","(42, 0.031012)","(52, 0.026956)","(39, 0.034094)","(43, 0.057731)","(39, 0.054274)","(41, 0.032243)","(41, 0.040548)","(59, 0.061185)","(44, 0.023018)","(40, 0.043164)","(11, 0.013419)","(39, 0.033998)","(37, 0.023974)","(27, 0.020303)","(39, 0.047274)","(39, 0.057195)","(53, 0.057164)","(57, 0.040782)","(60, 0.014150)"
21,3.25,"(55, 0.024655)","(38, 0.043724)","(39, 0.036651)","(39, 0.045993)","(43, 0.044941)","(43, 0.026848)","(44, 0.064906)","(39, 0.033052)","(39, 0.040142)","(39, 0.037570)","(60, 0.007549)","(39, 0.034102)","(39, 0.036019)","(39, 0.031662)","(39, 0.035486)","(45, 0.005890)","(38, 0.030867)","(39, 0.023651)","(41, 0.052843)","(43, 0.036158)","(37, 0.034440)","(42, 0.055284)","(38, 0.031911)","(54, 0.010435)","(11, 0.022138)","(39, 0.072121)","(38, 0.024420)","(32, 0.029003)","(42, 0.029043)","(32, 0.034083)","(39, 0.033102)","(39, 0.086753)","(39, 0.046876)","(41, 0.032883)","(41, 0.047335)","(58, 0.034722)","(33, 0.024452)","(38, 0.020875)","(10, 0.011157)","(39, 0.034199)","(37, 0.018504)","(37, 0.021998)","(39, 0.048095)","(39, 0.052660)","(51, 0.056526)","(57, 0.040374)","(60, 0.017277)"
22,3.1666666666666665,"(59, 0.027732)","(37, 0.051496)","(39, 0.036928)","(43, 0.046981)","(42, 0.037436)","(23, 0.027202)","(39, 0.073881)","(39, 0.033592)","(39, 0.043781)","(39, 0.037439)","(60, 0.006524)","(39, 0.040128)","(39, 0.041899)","(39, 0.031656)","(33, 0.051582)","(37, 0.008935)","(38, 0.030867)","(27, 0.027543)","(41, 0.053393)","(21, 0.035032)","(37, 0.037734)","(37, 0.060253)","(37, 0.047067)","(9, 0.025880)","(7, 0.029333)","(39, 0.074087)","(43, 0.035978)","(32, 0.037238)","(42, 0.028393)","(32, 0.034010)","(39, 0.033113)","(39, 0.074023)","(38, 0.038160)","(32, 0.031654)","(36, 0.034961)","(39, 0.030877)","(32, 0.035341)","(36, 0.028827)","(9, 0.011278)","(39, 0.034750)","(37, 0.018538)","(29, 0.019640)","(43, 0.039533)","(39, 0.057529)","(49, 0.057475)","(59, 0.044892)","(60, 0.026272)"
23,3.0833333333333335,"(60, 0.022297)","(36, 0.057959)","(39, 0.036896)","(39, 0.060762)","(39, 0.041508)","(43, 0.027231)","(37, 0.061829)","(39, 0.036453)","(37, 0.043689)","(39, 0.042771)","(60, 0.006510)","(39, 0.042741)","(39, 0.043446)","(39, 0.035534)","(34, 0.055431)","(40, 0.008019)","(37, 0.031890)","(32, 0.038984)","(39, 0.060545)","(21, 0.037530)","(37, 0.037877)","(37, 0.049342)","(37, 0.048253)","(9, 0.026177)","(5, 0.027630)","(39, 0.066154)","(34, 0.032696)","(32, 0.036072)","(42, 0.030129)","(32, 0.033149)","(39, 0.033074)","(39, 0.065777)","(37, 0.018417)","(32, 0.031789)","(36, 0.036259)","(39, 0.033891)","(32, 0.039807)","(36, 0.036463)","(12, 0.010382)","(39, 0.040612)","(34, 0.031077)","(36, 0.023218)","(39, 0.040189)","(36, 0.061328)","(51, 0.057114)","(59, 0.044417)","(60, 0.031536)"
24,3.0,"(60, 0.007608)","(36, 0.058174)","(39, 0.036730)","(39, 0.058210)","(39, 0.034661)","(36, 0.023059)","(37, 0.055075)","(39, 0.035330)","(31, 0.041708)","(35, 0.043209)","(60, 0.007459)","(39, 0.039940)","(39, 0.043848)","(39, 0.035727)","(33, 0.046155)","(45, 0.007506)","(37, 0.033549)","(32, 0.042761)","(39, 0.070039)","(21, 0.036898)","(34, 0.040555)","(37, 0.067348)","(37, 0.045300)","(9, 0.025064)","(7, 0.021584)","(39, 0.068049)","(32, 0.039978)","(32, 0.037410)","(42, 0.029998)","(32, 0.034090)","(39, 0.029816)","(34, 0.071015)","(33, 0.023288)","(32, 0.031258)","(36, 0.036535)","(39, 0.036878)","(32, 0.039426)","(36, 0.034948)","(12, 0.011481)","(39, 0.039428)","(34, 0.034973)","(59, 0.021192)","(39, 0.044737)","(36, 0.067093)","(51, 0.059607)","(59, 0.041532)","(60, 0.017321)"
25,2.9166666666666665,"(60, 0.006169)","(34, 0.056036)","(39, 0.031460)","(39, 0.051490)","(33, 0.020976)","(26, 0.025176)","(32, 0.057132)","(39, 0.032871)","(31, 0.042473)","(39, 0.038340)","(60, 0.007501)","(39, 0.040334)","(34, 0.043450)","(39, 0.037480)","(33, 0.051176)","(47, 0.007901)","(39, 0.040171)","(32, 0.042761)","(39, 0.051311)","(21, 0.059669)","(34, 0.043162)","(37, 0.068113)","(35, 0.034203)","(9, 0.026270)","(6, 0.022368)","(35, 0.068401)","(32, 0.029148)","(32, 0.036013)","(42, 0.029847)","(32, 0.035232)","(34, 0.029441)","(34, 0.071468)","(37, 0.029060)","(32, 0.039577)","(31, 0.034855)","(39, 0.044458)","(32, 0.037236)","(36, 0.035098)","(10, 0.012303)","(37, 0.046489)","(34, 0.035034)","(58, 0.026833)","(37, 0.035579)","(36, 0.059742)","(53, 0.054226)","(59, 0.037733)","(60, 0.017706)"
26,2.8333333333333335,"(60, 0.006169)","(34, 0.056819)","(39, 0.027592)","(32, 0.053528)","(33, 0.020474)","(27, 0.029859)","(32, 0.046198)","(39, 0.036089)","(31, 0.045122)","(39, 0.034008)","(60, 0.006342)","(35, 0.045079)","(34, 0.043516)","(39, 0.035156)","(33, 0.050673)","(47, 0.007640)","(33, 0.026351)","(32, 0.042784)","(39, 0.060254)","(39, 0.024941)","(34, 0.042266)","(33, 0.090568)","(32, 0.033505)","(9, 0.025056)","(6, 0.026528)","(35, 0.076128)","(32, 0.042577)","(30, 0.030101)","(37, 0.023281)","(32, 0.033994)","(34, 0.029430)","(39, 0.060788)","(27, 0.037858)","(32, 0.041259)","(32, 0.038693)","(41, 0.035489)","(60, 0.022362)","(36, 0.034575)","(10, 0.012193)","(37, 0.046024)","(34, 0.035733)","(39, 0.025041)","(37, 0.033384)","(36, 0.056883)","(53, 0.056586)","(59, 0.062227)","(60, 0.015878)"
