held_out_patient,rank,channel_added,selected_channels
PN03,10,P4,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4"
PN03,11,FP2,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2"
PN03,12,F4,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4"
PN03,13,FP1,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1"
PN03,14,P3,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3"
PN03,15,CP6,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6"
PN03,16,CP1,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1"
PN03,17,F10,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10"
PN03,18,CP2,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2"
PN03,19,FC2,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2"
PN03,20,F8,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8"
PN03,21,FZ,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ"
PN03,22,CZ,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ, CZ"
PN03,23,F3,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ, CZ, F3"
PN03,24,O2,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ, CZ, F3, O2"
PN03,25,F7,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ, CZ, F3, O2, F7"
PN03,26,O1,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ, CZ, F3, O2, F7, O1"
PN03,27,FC5,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ, CZ, F3, O2, F7, O1, FC5"
PN03,28,C3,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ, CZ, F3, O2, F7, O1, FC5, C3"
PN03,29,F9,"T4, T3, PZ, C4, FC1, CP5, T6, FC6, T5, P4, FP2, F4, FP1, P3, CP6, CP1, F10, CP2, FC2, F8, FZ, CZ, F3, O2, F7, O1, FC5, C3, F9"
PN05,1,T6,T6
PN05,2,T3,"T6, T3"
PN05,3,PZ,"T6, T3, PZ"
PN05,4,F10,"T6, T3, PZ, F10"
PN05,5,CP1,"T6, T3, PZ, F10, CP1"
PN05,6,T4,"T6, T3, PZ, F10, CP1, T4"
PN05,7,F3,"T6, T3, PZ, F10, CP1, T4, F3"
PN05,8,FZ,"T6, T3, PZ, F10, CP1, T4, F3, FZ"
PN05,9,CP5,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5"
PN05,10,F4,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4"
PN05,11,T5,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5"
PN05,12,CP6,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6"
PN05,13,CZ,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ"
PN05,14,O1,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1"
PN05,15,FP2,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2"
PN05,16,FC6,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6"
PN05,17,FC1,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1"
PN05,18,CP2,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2"
PN05,19,FC2,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2"
PN05,20,F8,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8"
PN05,21,P4,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4"
PN05,22,C4,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4, C4"
PN05,23,F7,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4, C4, F7"
PN05,24,O2,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4, C4, F7, O2"
PN05,25,FC5,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4, C4, F7, O2, FC5"
PN05,26,F9,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4, C4, F7, O2, FC5, F9"
PN05,27,FP1,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4, C4, F7, O2, FC5, F9, FP1"
PN05,28,P3,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4, C4, F7, O2, FC5, F9, FP1, P3"
PN05,29,C3,"T6, T3, PZ, F10, CP1, T4, F3, FZ, CP5, F4, T5, CP6, CZ, O1, FP2, FC6, FC1, CP2, FC2, F8, P4, C4, F7, O2, FC5, F9, FP1, P3, C3"
PN06,1,CP5,CP5
PN06,2,P3,"CP5, P3"
PN06,3,F10,"CP5, P3, F10"
PN06,4,CP6,"CP5, P3, F10, CP6"
PN06,5,T5,"CP5, P3, F10, CP6, T5"
PN06,6,T3,"CP5, P3, F10, CP6, T5, T3"
PN06,7,P4,"CP5, P3, F10, CP6, T5, T3, P4"
PN06,8,T4,"CP5, P3, F10, CP6, T5, T3, P4, T4"
PN06,9,FC6,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6"
PN06,10,T6,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6"
PN06,11,FC5,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5"
PN06,12,PZ,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ"
PN06,13,CP2,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2"
PN06,14,FC1,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1"
PN06,15,F9,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9"
PN06,16,CP1,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1"
PN06,17,C4,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4"
PN06,18,O1,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1"
PN06,19,FZ,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ"
PN06,20,F4,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4"
PN06,21,FC2,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2"
PN06,22,F8,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2, F8"
PN06,23,O2,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2, F8, O2"
PN06,24,F3,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2, F8, O2, F3"
PN06,25,F7,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2, F8, O2, F3, F7"
PN06,26,FP1,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2, F8, O2, F3, F7, FP1"
PN06,27,C3,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2, F8, O2, F3, F7, FP1, C3"
PN06,28,CZ,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2, F8, O2, F3, F7, FP1, C3, CZ"
PN06,29,FP2,"CP5, P3, F10, CP6, T5, T3, P4, T4, FC6, T6, FC5, PZ, CP2, FC1, F9, CP1, C4, O1, FZ, F4, FC2, F8, O2, F3, F7, FP1, C3, CZ, FP2"
PN07,1,T4,T4
PN07,2,PZ,"T4, PZ"
PN07,3,FC6,"T4, PZ, FC6"
PN07,4,T3,"T4, PZ, FC6, T3"
PN07,5,F7,"T4, PZ, FC6, T3, F7"
PN07,6,CP5,"T4, PZ, FC6, T3, F7, CP5"
PN07,7,CP6,"T4, PZ, FC6, T3, F7, CP5, CP6"
PN07,8,FC5,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5"
PN07,9,T5,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5"
PN07,10,F9,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9"
PN07,11,CP2,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2"
PN07,12,CP1,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1"
PN07,13,F3,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3"
PN07,14,P3,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3"
PN07,15,FP1,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1"
PN07,16,T6,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6"
PN07,17,F8,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8"
PN07,18,FP2,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2"
PN07,19,C4,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4"
PN07,20,F4,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4"
PN07,21,C3,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3"
PN07,22,FC1,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3, FC1"
PN07,23,P4,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3, FC1, P4"
PN07,24,O1,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3, FC1, P4, O1"
PN07,25,O2,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3, FC1, P4, O1, O2"
PN07,26,F10,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3, FC1, P4, O1, O2, F10"
PN07,27,FC2,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3, FC1, P4, O1, O2, F10, FC2"
PN07,28,CZ,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3, FC1, P4, O1, O2, F10, FC2, CZ"
PN07,29,FZ,"T4, PZ, FC6, T3, F7, CP5, CP6, FC5, T5, F9, CP2, CP1, F3, P3, FP1, T6, F8, FP2, C4, F4, C3, FC1, P4, O1, O2, F10, FC2, CZ, FZ"
PN09,1,T4,T4
PN09,2,PZ,"T4, PZ"
PN09,3,F4,"T4, PZ, F4"
PN09,4,T6,"T4, PZ, F4, T6"
PN09,5,CP5,"T4, PZ, F4, T6, CP5"
PN09,6,T5,"T4, PZ, F4, T6, CP5, T5"
PN09,7,F10,"T4, PZ, F4, T6, CP5, T5, F10"
PN09,8,T3,"T4, PZ, F4, T6, CP5, T5, F10, T3"
PN09,9,P3,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3"
PN09,10,F3,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3"
PN09,11,C4,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4"
PN09,12,P4,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4"
PN09,13,CP6,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6"
PN09,14,FP2,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2"
PN09,15,CP1,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1"
PN09,16,FC6,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6"
PN09,17,FC2,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2"
PN09,18,CP2,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2"
PN09,19,F9,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9"
PN09,20,O1,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1"
PN09,21,FC1,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1"
PN09,22,F7,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1, F7"
PN09,23,FP1,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1, F7, FP1"
PN09,24,CZ,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1, F7, FP1, CZ"
PN09,25,F8,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1, F7, FP1, CZ, F8"
PN09,26,O2,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1, F7, FP1, CZ, F8, O2"
PN09,27,FZ,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1, F7, FP1, CZ, F8, O2, FZ"
PN09,28,FC5,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1, F7, FP1, CZ, F8, O2, FZ, FC5"
PN09,29,C3,"T4, PZ, F4, T6, CP5, T5, F10, T3, P3, F3, C4, P4, CP6, FP2, CP1, FC6, FC2, CP2, F9, O1, FC1, F7, FP1, CZ, F8, O2, FZ, FC5, C3"
PN10,1,T4,T4
PN10,2,PZ,"T4, PZ"
PN10,3,T3,"T4, PZ, T3"
PN10,4,FC6,"T4, PZ, T3, FC6"
PN10,5,P4,"T4, PZ, T3, FC6, P4"
PN10,6,CP5,"T4, PZ, T3, FC6, P4, CP5"
PN10,7,CP2,"T4, PZ, T3, FC6, P4, CP5, CP2"
PN10,8,CP1,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1"
PN10,9,C4,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4"
PN10,10,CP6,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6"
PN10,11,O1,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1"
PN10,12,FC1,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1"
PN10,13,F7,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7"
PN10,14,T6,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6"
PN10,15,F8,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8"
PN10,16,P3,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3"
PN10,17,CZ,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ"
PN10,18,FC2,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2"
PN10,19,F10,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10"
PN10,20,F4,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4"
PN10,21,FC5,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5"
PN10,22,T5,"T4, PZ, T3, FC6, P4, CP5, CP2, CP1, C4, CP6, O1, FC1, F7, T6, F8, P3, CZ, FC2, F10, F4, FC5, T5"
